Course, CRN, Comments, Department, Last Taught
ARTH 187, 95564, Pre req: Six hours of Art History, three at the 100-level Final exam is on  December 9 - 7:30 PM to 10:15 PM, ART--HISTORY, Fall 2020
ARTH 188, 95365, Prerequisite: Three hours of Art  History, ART--HISTORY, Fall 2018
ARTH 190, 10814, Prereqs: Six hrs 100 level ARTH;  Contract required; Need faculty sponsor  and Advisor permission; See www.uvm.edu/  ~artdept/ for more info, ART--HISTORY, Spring 2016
ARTH 191, 92818, Prereq: 6 hrs in ARTH at the 100 level;  Art History or Art Education major;  Minimum Jr stdg; Instructor and Advisor  permission, and contract required Meets  in Williams 301, ART--HISTORY, Fall 2020
ARTH 192, 95565, Prereqs enforced by the system: ARTH  005 or 006 or 008 Final exam is on  December 8 - 10:30 AM to 1:15 PM, ART--HISTORY, Fall 2020
ARTH 194, 97135, No Requirement Information Given, ART--HISTORY, Fall 2020
ARTH 195, 95597, Prereqs: ARTH 005 or ARTH 006, ART--HISTORY, Fall 2020
ARTH 196, 14924, No Requirement Information Given, ART--HISTORY, Spring 2020
ARTH 198, 10581, Prereqs: Six hours 100-level ARTH; Need  faculty sponsor and advisor permission;  Contract required; Contact department  for location; See www.uvm.edu/~artdept/  for more info, ART--HISTORY, Spring 2020
ARTH 199, 15200, Prereqs: ARTH 005, 006 or 3 hours FTS, ART--HISTORY, Spring 2019
ARTH 282, 96090, Dio, ART--HISTORY, Fall 2020
ARTH 285, 13597, Prereqs: ARTH 008, 185, 186, 187, 188  or 192 and 3 hours at 100-level in ARTH  or Asian Studies; or instructor  permission., ART--HISTORY, Spring 2018
ARTH 296, 15518, Prereqs: ARTH 005 or 006; Minimum Jr.  standing. SART, AHST or ARTE mjrs/mnrs  only; Or instructor's permission., ART--HISTORY, Spring 2017
ARTH 297, 15949, Instructor permission required, ART--HISTORY, Spring 2019
ARTH 298, 97084, Course title: Museum Studies Research, ART--HISTORY, Fall 2020
ARTS 001, 90743, CAS first-time, first-year students  only; Lab fee $95, ART--STUDIO, Fall 2020
ARTS 002, 10114, $120 Lab fee; Open to degree and CDE  students, ART--STUDIO, Spring 2016
ARTS 003, 15019, $105 Lab Fee; Open to degree and CDE  students, ART--STUDIO, Spring 2018
ARTS 012, 91395, AHST, ARTE, SART majors, AHST, ARTS  minors only; Restrictions to be lifted  the Monday following registration; Lab  Fee $145, ART--STUDIO, Fall 2020
ARTS 095, 95732, CAS first time first year students only  Lab fee: $55, ART--STUDIO, Fall 2020
ARTS 096, 15676, Lab fee: $180; Cross listed with THE  042 A; Class Scheduled in Room 209 of  Royall Tyler Theater, ART--STUDIO, Spring 2017
ARTS 113, 90713, Prereqs enforced by the system: ARTS  012; AHST, ARTE, SART majors, AHST, ARTS minors only; Restrictions to be  lifted the Monday following  registration; Lab Fee $55, ART--STUDIO, Fall 2020
ARTS 114, 91325, Prereqs enforced by the system: ARTS  012; Lab fee $55; AHST, ARTE, SART  majors, AHST, ARTS minors only;  Restrictions to be lifted the Monday  following registration, ART--STUDIO, Fall 2020
ARTS 115, 91183, Prereqs enforced by the system: ARTS  001; Lab Fee $105; AHST, ARTE, SART  majors, AHST, ARTS minors only;  Restrictions to be lifted the Monday  following registration, ART--STUDIO, Fall 2020
ARTS 121, 91326, Prereqs enforced by the system: ARTS  001; Lab fee $300; AHST, ARTE, SART  majors, AHST, ARTS minors only;  Restrictions to be lifted the Monday  following registration, ART--STUDIO, Fall 2020
ARTS 122, 95738, Prereqs enforced by the system: ARTS  001; AHST, ARTE, SART majors, AHST, ARTS minors only; Restrictions to be  lifted the Monday following  registration; Lab fee: $200, ART--STUDIO, Fall 2020
ARTS 131, 90408, Prereqs enforced by the system: ARTS  001 or 012; Lab Fee $150, ART--STUDIO, Fall 2016
ARTS 132, 95731, Prereqs enforced by the system: ARTS  001 or ARTS 012; AHST, ARTE, SART  majors, AHST, ARTS minors only;  Restrictions to be lifted the Monday  following registration; Lab fee: $230, ART--STUDIO, Fall 2020
ARTS 134, 12655, Prereqs enforced by the system: ARTS  001 or 012; $180 Lab Fee, ART--STUDIO, Spring 2018
ARTS 137, 90199, Prereqs enforced by system:ARTS 012, or  FTS 007, 008 or 010; Cannot be taken  concurrently with ARTS 138 or ARTS 237;  Lab fee $120; AHST, ARTE, SART majors, AHST, ARTS minors only; Restrictions to  be lifted the Monday following  registration, ART--STUDIO, Fall 2020
ARTS 138, 90200, Prereqs enforced by system: ARTS 012;  AHST, ARTE, SART majors, AHST, ARTS  minors only; Restrictions to be lifted  the Monday following registration;  Cannot be taken concurrently with ARTS  137 or ARTS 237; Lab fee $95, ART--STUDIO, Fall 2020
ARTS 139, 13502, Prereqs enforced by the system: ARTS  001 or FTS 007 or FTS 008 or FTS 010;  Lab Fee $40, ART--STUDIO, Spring 2018
ARTS 141, 90201, Prereqs enforced by the system: ARTS  001 or 012; Lab Fee $45; AHST, ARTE, SART majors, AHST, ARTS minors only;  Restrictions to be lifted the Monday  following registration, ART--STUDIO, Fall 2020
ARTS 144, 91287, Prereqs enforced by the sytem: ARTS 001  or 012; Lab fee $135; AHST, ARTE, SART  majors, AHST, ARTS minors only;  Restrictions to be lifted the Monday  following registration, ART--STUDIO, Fall 2019
ARTS 145, 93624, Prereqs enforced by the system: ARTS  001 or 012; AHST, ARTE, SART majors, AHST, ARTS minors only; Restrictions to  be lifted the Monday following  registration; Lab fee: $25, ART--STUDIO, Fall 2020
ARTS 148, 90776, Prereqs enforced by system: ARTS 012 or  FTS 007, 008 or 010; Lab fee $35;  Restrictions: AHST, ARTE, FTS, SART  majors, AHST, ARTS, FTS minors only;  Restrictions to be lifted the Monday  following registration, ART--STUDIO, Fall 2020
ARTS 191, 90203, Prereqs: 6 hrs in ARTS at the 100 level;  Studio Art, Art Education majors;  Minimum Jr stdg; Faculty sponsor  permission and contact required Meets  in Williams 301, ART--STUDIO, Fall 2020
ARTS 194, 92975, Prereqs: 6 hrs in ARTS at the 100 level;  Studio Art, Art Education majors;  Minimum Jr stdg; Faculty sponsor  permission and contact required Meets  in Williams 301, ART--STUDIO, Fall 2020
ARTS 195, 95739, Prereqs: ARTS 001 or 012, CS 020 or 021, ME 001, EE001 or MU 060; ARTS majors or  minors, CS, ENGR, ME, BME, CE, CEE, EE, MUS majors only; Lab fee: $75, ART--STUDIO, Fall 2020
ARTS 197, 90204, Prereqs: 6 hrs in ARTS at the 100 level;  Studio Art, Art Education majors;  Minimum Jr stdg; Faculty sponsor  permission and contract required Meets  in Williams 301, ART--STUDIO, Fall 2020
ARTS 213, 10771, Prereqs enforced by the system: ARTS  113 or 114; Minimum Junior standing;  $55 Lab Fee; SART, AHST, ARTE Majors;  ARTS, AHST Minors only; Restrictions to  be lifted the Monday following  Registration; Open to degree and CDE  students, ART--STUDIO, Spring 2019
ARTS 215, 92633, Prereqs enforced by the system: ARTS  115 or 116; Lab Fee: $105; Jr standing;  AHST, ARTE, SART majors, AHST, ARTS  minors only; Restrictions to be lifted  the Monday following registration, ART--STUDIO, Fall 2020
ARTS 221, 10195, Prereqs enforced by the system: ARTS  012, 121 or ARTS 122; Minimum Junior  standing; SART, AHST, ARTE Majors; ARTS, AHST Minors only; Restrictions to be  lifted the Monday following  Registration; $105 Lab Fee; Open to  Degree and CDE students., ART--STUDIO, Spring 2020
ARTS 230, 11243, Prereqs enforced by the system: ARTS  131 or 132 or 134; or Instructor  permission; Minimum Junior standing;  $150 Lab Fee; SART, AHST, ARTE Majors;  ARTS, AHST Minors only; Restrictions to  be lifted the Monday following  Registration; Open to Degree and CDE  students., ART--STUDIO, Spring 2020
ARTS 237, 10196, Prereqs enforced by the system: ARTS  137 and ARTS 138; SART, AHST, ARTE  majors, ARTS, AHST minors, or  instructor permission; Minimum Junior  standing; $170 Lab Fee; Restrictions to  be lifted the Monday following  Registration; Open to Degree and CDE  students., ART--STUDIO, Spring 2020
ARTS 241, 92931, Prereqs enforced by the system: ARTS  141; Jr standing; Lab fee $45; AHST, ARTE, SART majors, AHST, ARTS minors  only; Restrictions to be lifted the  Monday following registration, ART--STUDIO, Fall 2020
ARTS 244, 13284, Prereqs enforced by the system: ARTS  144 or 138 or 145; Lab Fee $80; SART, AHST, ARTE Majors; ARTS, AHST Minors  only; Restrictions to be lifted the  Monday following Registration; Open to  degree and CDE students, ART--STUDIO, Spring 2019
ARTS 248, 92491, Prereqs enforced by the system: ARTS  148 or FTS 141; Jr standing; Lab fee  $35; Restrictions: AHST, ARTE, FTS, SART majors, and AHST, ARTS minors only;  Restrictions to be lifted the Monday  following registration, ART--STUDIO, Fall 2020
ARTS 281, 15871, Contact department for location, ART--STUDIO, Spring 2017
ARTS 283, 10258, Senior standing; SART mjrs only; 3 hrs  200-level ARTS expected; Instructor  permission required; e-mail with any  questions including course capacities;  $30 Lab Fee, ART--STUDIO, Spring 2016
ARTS 297, 92979, Prereqs: 6 hrs in ARTS at the 100 level;  Studio Art, Art Education majors;  Minimum Jr standing; Faculty sponsor  permission and contract required, ART--STUDIO, Fall 2020
AS 010, 93642, CAS first time first year students only, A&S--INTERDISCIPLINARY, Fall 2016
AS 020, 95733, No Requirement Information Given, A&S--INTERDISCIPLINARY, Fall 2020
AS 095, 94994, CAS first time first year exploratory  students only Instructor Permission  only, A&S--INTERDISCIPLINARY, Fall 2020
AS 096, 96096, Instructor permission required; Open to  Washington Center participants only;  TWC LEAD Professional Development  Colloquium, A&S--INTERDISCIPLINARY, Fall 2020
AS 190, 94402, For students with PREVIOUS semester  internships (including summer), A&S--INTERDISCIPLINARY, Fall 2020
AS 195, 95808, Minimum sophomore standing; Instructor  permission required Service Learning  Course, A&S--INTERDISCIPLINARY, Fall 2016
AS 196, 95819, For the Washington Center Academic  Seminar, A&S--INTERDISCIPLINARY, Fall 2020
AS 197, 97103, No Requirement Information Given, A&S--INTERDISCIPLINARY, Fall 2020
AS 296, 96078, Instructor Permission only CAS students  only Variable credit 1-6, A&S--INTERDISCIPLINARY, Fall 2020
ASCI 001, 90006, Must register for an ASCI 001 lab; ASCI  first-year students only; Materials  fee: $47; One mandatory Wed seminar 10/  7; 7 - 8:30 pm, ANIMAL--SCIENCES, Fall 2020
ASCI 005, 93090, This section is reserved for degree  students; CDE students should register  for ASCI 005 OLR, ANIMAL--SCIENCES, Fall 2020
ASCI 006, 92551, First years, sophomores, and juniors  only, ANIMAL--SCIENCES, Fall 2020
ASCI 007, 94947, No Requirement Information Given, ANIMAL--SCIENCES, Fall 2020
ASCI 021, 92550, Instructor permission required; Must  have been accepted into the UVM Horse  Barn Coop or Currently enrolled in ASCI  121 to qualify, ANIMAL--SCIENCES, Fall 2020
ASCI 030, 14805, Instructor permission required; Fee:  $400, ANIMAL--SCIENCES, Spring 2020
ASCI 038, 13578, ASCI majors or minors only or  instructor permission, ANIMAL--SCIENCES, Spring 2020
ASCI 043, 14802, Prereqs enforced by the system: ASCI  001 or BIOL 001 or BCOR 011, ANIMAL--SCIENCES, Spring 2020
ASCI 095, 94865, No Requirement Information Given, ANIMAL--SCIENCES, Fall 2019
ASCI 097, 96153, No Requirement Information Given, ANIMAL--SCIENCES, Fall 2020
ASCI 098, 94867, Instructor permission required, ANIMAL--SCIENCES, Fall 2019
ASCI 108, 94863, Prereqs enforced by the system: ASCI  001 or ASCI 005 or instructor  permission, ANIMAL--SCIENCES, Fall 2019
ASCI 110, 91173, Must register for a lab, A01-A05;  Sophomore standing or above, ANIMAL--SCIENCES, Fall 2020
ASCI 111, 94914, Prereqs enforced by the system: BIOL  001 or BCOR 001 and CHEM 31, 32 or CHEM  23, 26; Chem 031 and 032 or Chem 023  and 026 Students must register for Lab  A01-A05 ASCI majors only or instructor  permission If full, please e-mail  npurdie@uvm.edu for wait list, ANIMAL--SCIENCES, Fall 2020
ASCI 117, 92562, Prereqs enforced by the system: ASCI  001 or ASCI 005, ANIMAL--SCIENCES, Fall 2020
ASCI 118, 12885, Prereq enforced by the system: ASCI 001, ANIMAL--SCIENCES, Spring 2020
ASCI 119, 94925, Prereqs enforced by the system: ASCI  001 or 005, ANIMAL--SCIENCES, Fall 2020
ASCI 121, 90041, Prereqs enforced by the system: ASCI  001 or 005; or instructor permission;  2-4 variable credits; Minimum sophomore  standing, ANIMAL--SCIENCES, Fall 2020
ASCI 122, 13391, ASCI majors or minors; Sophomore  standing or above; or instructor  permission, ANIMAL--SCIENCES, Spring 2020
ASCI 125, 14807, Prereqs enforced by the system: ASCI  001 or 005, ANIMAL--SCIENCES, Spring 2020
ASCI 129, 92737, Prereqs enforced by the system: ASCI  021; See instructor for more info;  Instructor permission required, ANIMAL--SCIENCES, Fall 2020
ASCI 130, 14808, Fee: $400; Instructor permission  required, ANIMAL--SCIENCES, Spring 2020
ASCI 134, 10312, Instructor permission required, ANIMAL--SCIENCES, Spring 2020
ASCI 135, 90042, Instructor permission required, ANIMAL--SCIENCES, Fall 2020
ASCI 141, 11139, Prereqs enforced by the system: ASCI  001 or BIOL 001 or BCOR 011;  Recommended: BIOL 002 or BCOR 012 and  Organic Chem; Students must register  for Lab A01-A07; ASCI majors only or  instructor permission; If full, please  e-mail npurdie@uvm.edu for wait list, ANIMAL--SCIENCES, Spring 2020
ASCI 143, 94868, Prereqs enforced by the system: BIOL  001/BCOR 011 or BIOL 002/BCOR 012 or  PBIO 004 or 006; Cross listed with PSS  143; Total combined enrollment = 24, ANIMAL--SCIENCES, Fall 2019
ASCI 154, 13579, Prereqs enforced by the sysem: ASCI 038;  or instructor permission, ANIMAL--SCIENCES, Spring 2020
ASCI 156, 90044, Minimum sophomore standing or, with  instructor permission, any student  interested in dairy industry, ANIMAL--SCIENCES, Fall 2020
ASCI 168, 10738, Prereqs enforced by the system: BIOL  001 or 002 or BCOR 011 or 012; ASCI  majors only; Minimum sophomore standing, ANIMAL--SCIENCES, Spring 2020
ASCI 171, 92968, Prereqs enforced by the system: ASCI  001; Also::BIO 001 and BCOR 011 or BIO  002 and BCOR 012; Minimum sophomore  standing or instructor permission; Fee:  $7.00, ANIMAL--SCIENCES, Fall 2020
ASCI 177, 14930, Prereqs enfoced by the system: BIOL 001  or BCOR 011 and BIOL 002 or BCOR 012, ANIMAL--SCIENCES, Spring 2019
ASCI 181, 92561, Please contact dave.townson@uvm.edu for  overrides, ANIMAL--SCIENCES, Fall 2020
ASCI 185, 94386, Prereqs enforced by the system: CHEM  042 or CHEM 141 and CHEM 142; Cross  listed w/ NFS 183 A and PBIO 185 A;  Optional lab is PBIO 187 A01 - A07;  Open to degree and CDE students, ANIMAL--SCIENCES, Fall 2017
ASCI 187, 93040, For ASCI and NFS majors only; Prereq:  NFS 183 or BIOC 201; Cross listed with  NFS 187 A02; Total combined enrollment  = 16, ANIMAL--SCIENCES, Fall 2019
ASCI 191, 96130, Contact department for location, ANIMAL--SCIENCES, Fall 2020
ASCI 192, 13500, This is a two-day course during spring  break Thursday 3/14 all day on campus  and Friday 3/15 all day field trip Fee  $108; 1 Credit, ANIMAL--SCIENCES, Spring 2019
ASCI 193, 12887, Instructor permission required, ANIMAL--SCIENCES, Spring 2020
ASCI 194, 93059, Instructor permission required, ANIMAL--SCIENCES, Fall 2020
ASCI 195, 93028, Credits: 1-18, ANIMAL--SCIENCES, Fall 2020
ASCI 196, 14953, No Requirement Information Given, ANIMAL--SCIENCES, Spring 2016
ASCI 197, 90069, Instructor permission required; Choose  1, 2 or 3 credits, ANIMAL--SCIENCES, Fall 2016
ASCI 198, 93262, Instructor permission required, ANIMAL--SCIENCES, Fall 2020
ASCI 208, 14801, Prereqs enforced by the system: ASCI  108 or 121 or 122, ANIMAL--SCIENCES, Spring 2019
