Course,Title,CRN,Credits,Max Enrl,Cur Enrl,Remain Seats,Begin Time,End Time,Days,Bldg,Room,Instructor,Comments,Department,Last Taught
ANTH 085, D2:Food and Culture,14679,3,109,102,7, 12:00, 12:50, M W F, BLLNGS, LH, Mares T, Open to degree and CDE students,ANTHROPOLOGY,Spring 2019
ANTH 089, D2:SU:Global Health Devl & Div,93790,3,122,119, 3*XL, 12:00, 12:50, M W F, REMOTE, COURSE, Shea J, Degree students only even after level  restrictions removed; CDE students  register for ANTH 089 ZRB; Cross listed  with HSOC 089; Total combined  enrollment = 140,ANTHROPOLOGY,Fall 2020
ANTH 095, FW:TAP: Ancient Pasts in Media,95333,3,18,18,0, 01:15, 02:30, T R, LAFAYE, L102, Van Keuren S," CAS first-time, first-year students  only",ANTHROPOLOGY,Fall 2020
ANTH 096," D2: Religion, Health & Healing",15464,3,119,55, 0*XL, 11:40, 12:55, T R, LAFAYE, L207, Brennan V,,AFRICAN--STUDIES,Spring 2019
ANTH 102, Anthropology of Sports,14750,3,40,40,0, 10:50, 11:40, M W F, LAFAYE, L300, Eastman B, Prereq enforced by the system: ANTH  021,ANTHROPOLOGY,Spring 2016
ANTH 103, Political Anthropology,14746,3,41,41,0, 09:40, 10:30, M W F, LAFAYE, L100, Eastman B, Prereqs enforced by the systnem: ANTH  21 or by instructor permission,ANTHROPOLOGY,Spring 2018
ANTH 104, D2:Archaeology of the Americas,15221,2,20,12,8, TBA, TBA,, ONLINE, COURSE, Van Keuren S, Winter Session Online Course: 12/26/17  - 1/12/18; Open to both CDE and Degree  students; This course may or may not  fulfill degree requirements for UVM  students. Please consult with your  Dean's Office if you have any questions  about applicability of winter session  courses toward graduation requirements.,ANTHROPOLOGY,Spring 2018
ANTH 105, Introduction to the Major,12249,1,25,24,1, 05:05, 07:05, W, WILLMS,511, Mares T," Prereqs: ANTH 021, 024, 026, or 028  ANTH majors only; Class will meet every  other week",ANTHROPOLOGY,Spring 2020
ANTH 106, Preserving the Past,14680,3,20,17,3, 01:15, 02:30, T R, WILLMS,511, Crock J, Prereqs enforced by the system: ANTH 21  or 24,ANTHROPOLOGY,Spring 2019
ANTH 112, Introduction to Syntax,95042,3,40,3, 10*XL, 01:10, 02:00, M W F, ALUMSP,142, Manetta E, Preqs enforced by the system: LING 080  or ANTH 028; Cross-listed with: LING  166 A Total combined enrollment = 40,ANTHROPOLOGY,Fall 2020
ANTH 113, QR:Introduction to Semantics,94215,3,40,19, 14*XL, 01:15, 02:30, T R, JEFFRD,127, Manetta E, Prereqs enforced by the system: ANTH  028 or LING 080 or by Instructor  Permission; Cross listed with LING 163  A,ANTHROPOLOGY,Fall 2018
ANTH 124," People, Poison, Place",95972,3,24,24, -4*XL, TBA, TBA,, ONLINE, COURSE, Steinberg J, Prereqs enforced by the system: ANTH  021; Degree Completion Students;  Instructor permission required,ANTHROPOLOGY,Fall 2020
ANTH 135, Prehistory of the US Southwest,14681,3,40,33,7, 02:50, 04:05, T R, LAFAYE, L311, Van Keuren S, Prereqs enforced by the system: ANTH 24,ANTHROPOLOGY,Spring 2019
ANTH 136, Europe:Neanderthals-Stonehenge,14999,3,40,33,7, 02:20, 03:10, M W F, LAFAYE, L100, Brouwer Burg M, Prereqs enforced by the system: ANTH  024.,ANTHROPOLOGY,Spring 2020
ANTH 140, Primates and Anthropology,95807,3,40,38,2, 10:05, 11:20, T R, BLLNGS, LH, Blom D, Prereqs enforced by the system: ANTH  021 or ANTH 026,ANTHROPOLOGY,Fall 2020
ANTH 141," Death, Burial, and Culture",95609,3,48,48,0, 04:25, 05:40, T R, MORRIL,10, Kroll Lerner, Prereqs enforced by the system: ANTH 21  or 24 or 26 or ANTH 28 or by instructor  permission,ANTHROPOLOGY,Fall 2017
ANTH 142, Introduction to Syntax,13019,3,48,7, 6*XL, 02:20, 03:10, M W F, JEFFRD,110, Manetta E, Prereqs enforced by the system: ANTH  028 or LING 080; Cross listed with LING  166,ANTHROPOLOGY,Spring 2017
ANTH 152, D2:Chinese Culture,94749,3,40,35,5, 10:50, 11:40, M W F, BLLNGS, MLK, Shea J,,ANTHROPOLOGY,Fall 2016
ANTH 160, D1: North American Indians,15090,3,109,109,0, 06:00, 07:15, T R, LAFAYE, L108, Robinson F, Prerequisite: ANTH 021 or 3 credits in  a social science.,ANTHROPOLOGY,Spring 2020
ANTH 164, Indians of the NE: Vermont,14683,3,40,24, 11*XL, 08:30, 09:45, T R, LAFAYE, L200, Crock J, Prereqs enforced by the system: ANTH  021 or 024; Cross listed with VS 196,ANTHROPOLOGY,Spring 2019
ANTH 173, D2: Fndns of Global Health,95960,3,5,4, 1*XL, 01:15, 02:30, T R, VOTEY,105, Barclay-Derman," ANTH majors only; Cross listed with  HSCI 103 A, HSOC 103 A; Total combined  enrollment = 65",ANTHROPOLOGY,Fall 2020
ANTH 174," SL:D2:Culture, Health &Healing",93792,3,65,36, 2*XL, 03:30, 04:45, M W, REMOTE, COURSE, Shea J, Prereqs enforced by the system: ANTH  021 or ANTH 089 or three hours of SOC;  Cross listed with SOC 155 A Total  combined enrollment = 66; Service  Learning,ANTHROPOLOGY,Fall 2020
ANTH 178, Sociolinguistics,95475,3,40,11, 6*XL, 03:30, 04:20, M W F, ML SCI,107, Eberhardt M, Prereqs enforced by the system: 028 or  LING 080; Cross listed with LING 178 A  and LING 295 A; total combined  enrollment = 40,ANTHROPOLOGY,Fall 2019
ANTH 179, D2: Environmental Anthropology,94795,3,40,41,-1, 12:00, 12:50, M W F, LAFAYE, L311, Vivanco L," Prereqs enforced by the system: ANTH  021, 023, or 024; or with Instructor  Permission",ANTHROPOLOGY,Fall 2018
ANTH 184, Street Children,14551,3,40,41,-1, 12:00, 12:50, M W F, LAFAYE, L311, Steinberg J, Prereq enforced by the system: ANTH 021,ANTHROPOLOGY,Spring 2017
ANTH 187, D1: Race and Ethnicity,15453,3,43,21, 1*XL, 12:00, 12:50, M W F, ML SCI,105, Khanna N, Prerequisite: Three hours in ANTH or  SOC cross-listed with CRES 196 and SOC  119 total combined enrollment = 43,ANTHROPOLOGY,Spring 2019
ANTH 195, Hunters and Gatherers,95808,3,40,31,9, 01:15, 02:30, T R, BLLNGS, LH, Brouwer Burg M, Prerequisite: ANTH 021 or ANTH 024,ANTHROPOLOGY,Fall 2020
ANTH 196, Economic Anthropology,14554,3,40,20,20, 10:50, 11:40, M W F, LAFAYE, L300, Eastman B," Prereq: Anth 021 and one 100-level  course, or by instructor permission",ANTHROPOLOGY,Spring 2017
ANTH 205, Advanced Proseminar in Anthro,92860,1,19,26,-7, TBA, TBA,, ONLINE, COURSE, Mares T," Prerequisites: Minimum Junior standing  ANTH mjrs; and any three credit 200-  level ANTH course; Classes will meet:  Thursdays- 9/03, 9/17, 10/01, 10/15, 10/  29, 11/12, 11/26",ANTHROPOLOGY,Fall 2020
ANTH 209, D2: Caribbean Archaeology,14557,3,20,10,10, 11:40, 12:55, T R, WILLMS,511, Crock J, Prereqs enforced by the system: ANTH  024 and one 100-level ANTH course; or  by instructor permission,ANTHROPOLOGY,Spring 2017
ANTH 210, Archaeological Theory,14993,3,20,15,5, 08:30, 11:30, R, WILLMS,511, Van Keuren S," Prereqs enforced by the system: ANTH  024 or HP 201 or HST 121, HST 122, or  HST 149, or HP 201; or graduate  standing in Historic Preservation  Program.",ANTHROPOLOGY,Spring 2020
ANTH 240, Human Osteology,95044,4,15,15,0, 02:50, 04:05, R, WILLMS,511, Blom D," Prereqs enforced by the system: ANTH  024, ANTH 026, one 100-level  Anthropology course in archaeology or  biological anthropology; Or Instructor  permission required; Must register for  ANTH 240 lab A01-A02",ANTHROPOLOGY,Fall 2020
ANTH 245, Laboratory Archaeology Topics,13564,3,16,15,1, 08:30, 11:30, T, WILLMS,511, Van Keuren S," Prereqs enforced by the system: ANTH  024 and one 100 level Anthropology  Course, or Instructor Permission",ANTHROPOLOGY,Spring 2020
ANTH 250, Museum Anthropology,14685,3,18,17,1, 04:35, 07:35, T, WILLMS,511, Dickinson J," Prereqs: ANTH majors and minors only;  Minimum sophomore standing; 1 100-level  Anthro class, or instructor permission",ANTHROPOLOGY,Spring 2019
ANTH 283, Colonialism,14755,3,18,20,-2, 03:30, 04:45, M W, WILLMS,511, Eastman B, Prereqs enforced by the system: ANTH  021 and 1 100 level ANTH course; or by  instructor permission,ANTHROPOLOGY,Spring 2018
ANTH 285, Anthropology of Food and Labor,14686,3,18,18,0, 03:30, 04:45, M W, OMANEX, A303, Mares T, Prereqs enforced by the system: ANTH  021,ANTHROPOLOGY,Spring 2019
ANTH 288, Anthropology of Global Health,13356,3,18,14,4, 02:50, 04:05, T R, WILLMS,511, Shea J, Prereqs enfoced by the system: ANTH 089  and ANTH 174,ANTHROPOLOGY,Spring 2018
ANTH 290, Meth of Ethnographic Field Wrk,94850,3,20,23,-3, 02:50, 04:05, T R, ROWELL,110, Mares T, Prereqs enforced by the system: Twelve  hours of Anthropology,ANTHROPOLOGY,Fall 2019
ANTH 295," Food Systems, Society & Policy",95288,3,4,2, 2*XL, 10:50, 01:50, W, HARRIS,115, Mares T, Cross listed with FS 345 A; Prequisite:  ANTH 21 and one 100 level ANTH course,ANTHROPOLOGY,Fall 2020
ANTH 296, SL:Food and Labor,14562,3,20,20,0, 04:25, 05:40, T R, WILLMS,511, Mares T, Prereqs enforced by the system: ANTH  021 and one 100 level course; Minimum  junior standing,ANTHROPOLOGY,Spring 2017
ARBC 001, Elementary Arabic I,91279,4,22,18,4, 09:40  04:25, 10:30  05:15, M W F  R, HILLS  HILLS, 228  228, Jonathan D,,AFRICAN--STUDIES,Fall 2016
ARBC 002, Elementary Arabic II,10961,4,20,17,3, 01:10  04:25, 02:00  05:15, M W F  R, MORRIL  WATERM, 010  458, Jonathan D,,AFRICAN--STUDIES,Spring 2017
ARBC 051, Intermediate Arabic I,91281,4,20,11,9, 02:20  04:25, 03:10  05:15, M W F  T, HARRIS  JEFFRD, 115  110, Jonathan D,,AFRICAN--STUDIES,Fall 2016
ARBC 052, Intermediate Arabic II,10963,4,20,7,13, 12:00  01:15, 12:50  02:05, M W F  R, 479 MN  479 MN, 102  102, Jonathan D, Prereq enforced by the system: ARBC 051;  Open to Degree and CDE students,ARABIC,Spring 2017
ARBC 095, Language & Arabic Culture,96077,3,25,7, 13*XL, 08:30, 09:45, T R, L/L-A, A101, Jonathan D, Cross listed w/ LING 084 A,ARABIC,Fall 2016
ARBC 195, Aspects of Arabic Culture,14732,3,25,18,7, 10:05, 11:20, T R, L/L CM,314, Jonathan D, Open to degree and CDE students,ARABIC,Spring 2017
ARTH 005, Western Art:Ancient - Medieval,96342,3,172,163,9, TBA, TBA,, ONLINE, COURSE, Glickman S, Open to Degree and CDE students,ART--HISTORY,Fall 2020
ARTH 006, Western Art:Renaissance-Modern,90308,3,168,149, 19*XL, 10:05, 11:20, T R, REMOTE, COURSE, Read H, Degree students only even after level  restrictions removed; CDE students  enroll in ARTH 006 ZRA,ART--HISTORY,Fall 2020
ARTH 008, D2: Asian Art,11354,3,30,29,1, 09:40, 10:30, M W F, WILLMS,402, Seyller J, Open to degree and CDE students,ART--HISTORY,Spring 2019
ARTH 095, How to Look at Art,15595,2,25,25,0, TBA, TBA,, ONLINE, COURSE, Helmstutler-, Winter Session Online Course; 12/28/15  - 1/15/16; Open to both CDE and Degree  students; This course may or may not  fulfill degree requirements for UVM  students. Please consult with your  Dean's Office if you have any questions  about applicability of winter session  courses toward graduation requirements.,ART--HISTORY,Spring 2016
ARTH 096, FW: TAP: Why Build That?,95316,3,19,13,6, 03:30, 04:20, M W F, WILLMS,402, Mierse W," CAS first-time, first-year students  only",ART--HISTORY,Fall 2019
ARTH 140, Hist of Optical Media as Art,92143,3,30,19,11, 05:05, 06:20, M W, WILLMS,402, Gass I, Prereqs enforced by the system: ARTH  006 or FTS 007 or 008,ART--HISTORY,Fall 2017
ARTH 146, D2: Egypt & the Ancient Near E,15199,3,30,24,6, 10:05, 11:20, T R, WILLMS,402, Mierse W, Prerequisite: ARTH 005,ART--HISTORY,Spring 2019
ARTH 148, Greek Art,14923,3,39,37,2, 02:50, 04:05, T R, WILLMS,402, Mierse W, Prereqs enforced by the system: ARTH  005,ART--HISTORY,Spring 2020
ARTH 155, Early Medieval,94880,3,30,16,14, 02:50, 04:05, T R, WILLMS,402, Mierse W, Prereqs enforced by the system: ARTH  005,ART--HISTORY,Fall 2017
ARTH 158, Northern European 1400-1600,15385,3,39,41,-2, 12:00, 12:50, M W F, WILLMS,402, Glickman S, Prereq: ARTH 006,ART--HISTORY,Spring 2020
ARTH 163, Italian High and Late Ren Art,95789,3,39,38,1, 11:40, 12:55, T R, KALKIN,3, Helmstutler-, Prereqs: ARTH 005 or ARTH 006,ART--HISTORY,Fall 2019
ARTH 165, Global Baroque,14371,3,30,29,1, 11:40, 12:55, T R, WILLMS,402, Glickman S, Prereqs enforced by the system: ARTH  006,ART--HISTORY,Spring 2019
ARTH 170, Topics in Modern Art,96334,3,31,27,4, 04:25, 05:40, T R, REMOTE, COURSE, Read H, Prerequisite: ARTH 006 or FTS 007 or  FTS 008 or FTS 010,ART--HISTORY,Fall 2020
ARTH 174, 20th-Century Art,95363,3,30,33,-3, 03:30, 04:45, M W, WILLMS,402, Grudin A, Prereqs enforced by the system: ARTH  006 or FTS 007 or 008 or FTS 010,ART--HISTORY,Fall 2018
ARTH 178, Methods and Theories,15710,3,30,30,0, 11:40, 12:55, T R, WILLMS,402, Grudin A, Prereqs enforced by the system: ARTH  006 or FTS 007 or FTS 008 or FTS 010;  or instructor permission,ART--HISTORY,Spring 2018
ARTH 179, Art of the 1960's,95422,3,30,32,-2, 03:30  TBA, 04:20  TBA, M W, WILLMS  ONLINE, 402  COURSE, Grudin A, Prereqs enforced by the system: ARTH  006 or FTS 007 or 008 or FTS 010,ART--HISTORY,Fall 2017
ARTH 184, D2: Islamic Art,95242,3,39,25,14, 10:05, 11:20, T R, WILLMS,402, Seyller J, Prereqs enforced by the system: ARTH  005 or 006 or 008 or REL 021,ART--HISTORY,Fall 2019
ARTH 185, D2: Japanese Art,15744,3,30,24,6, 10:50, 11:40, M W F, WILLMS,402, Seyller J, Prereqs enforced by the system: ARTH  005 or 006 or 008 or HST 151 or REL 021  or REL 132 or 141,ART--HISTORY,Spring 2019
ARTH 186, D2: The Hindu Temple,95243,3,39,28,11, 01:15, 02:30, T R, WILLMS,402, Seyller J, Prereqs: ARTH 005 or ARTH 006 or REL  021,ART--HISTORY,Fall 2019
ARTH 187, D2: Chinese Painting,95564,3,38,26,12, TBA, TBA,, ONLINE, COURSE, Seyller J," Pre req: Six hours of Art History,  three at the 100-level Final exam is on  December 9 - 7:30 PM to 10:15 PM",ART--HISTORY,Fall 2020
ARTH 188, D2: Indian Painting,95365,3,30,21,9, 01:15, 02:30, T R, WILLMS,402, Seyller J, Prerequisite: Three hours of Art  History,ART--HISTORY,Fall 2018
ARTH 192, D2:Art of Southeast Asia,95565,3,38,23,15, TBA, TBA,, ONLINE, COURSE, Seyller J, Prereqs enforced by the system: ARTH  005 or 006 or 008 Final exam is on  December 8 - 10:30 AM to 1:15 PM,ART--HISTORY,Fall 2020
ARTH 195, Prints&Propaganda1800-Present,95597,3,40,36,4, TBA, TBA,, ONLINE, COURSE, Glickman S, Prereqs: ARTH 005 or ARTH 006,ART--HISTORY,Fall 2020
ARTH 196, The City as Art,14924,3,39,22,17, 11:40, 12:55, T R, WILLMS,402, Mierse W,,ART--HISTORY,Spring 2020
ARTH 199," Gender,Race& Ethnicity in Art",15200,3,30,37,-7, 02:50, 04:05, T R, JEFFRD,110, Grudin A," Prereqs: ARTH 005, 006 or 3 hours FTS",ART--HISTORY,Spring 2019
ARTH 282, Seminar: Museum Studies,96090,3,20,12,8, 12:00, 03:00, R, KALKIN,110, Helmstutler-Di, Dio,ART--HISTORY,Fall 2020
ARTH 285, Ornament in Asian Art,13597,3,15,5,10, 01:10, 04:10, M, WILLMS,409, Seyller J," Prereqs: ARTH 008, 185, 186, 187, 188  or 192 and 3 hours at 100-level in ARTH  or Asian Studies; or instructor  permission.",ART--HISTORY,Spring 2018
ARTH 296, Sem: Examining the Exhibition,15518,3,15,14,1, 12:00, 03:00, W, WILLMS,409, Fraser P," Prereqs: ARTH 005 or 006; Minimum Jr.  standing. SART, AHST or ARTE mjrs/mnrs  only; Or instructor's permission.",ART--HISTORY,Spring 2017
ARTS 001, FW:TAP: Drawing,90743,3,18,17,1, 12:00, 01:50, W F, REMOTE, COURSE, Warren S," CAS first-time, first-year students  only; Lab fee $95",ART--STUDIO,Fall 2020
ARTS 002, Two-Dimensional Studies,10114,3,18,18,0, 05:05, 06:55, M W, WATERM, 113T, Dye S, $120 Lab fee; Open to degree and CDE  students,ART--STUDIO,Spring 2016
ARTS 003, Three-Dimensional Studies,15019,3,16,16,0, 03:30, 05:20, M W, WILLMS,206, McDevitt M, $105 Lab Fee; Open to degree and CDE  students,ART--STUDIO,Spring 2018
ARTS 012, Perspectives on Art Making,91395,3,18,19,-1, 08:30, 10:20, T R, REMOTE, COURSE, Davis C," AHST, ARTE, SART majors, AHST, ARTS  minors only; Restrictions to be lifted  the Monday following registration; Lab  Fee $145",ART--STUDIO,Fall 2020
ARTS 095, FW:TAP:Wheel Throwing,95732,3,16,16,0, 10:50, 12:40, M W, WILLMS,106, Barringer H, CAS first time first year students only  Lab fee: $55,ART--STUDIO,Fall 2020
ARTS 096, Fund Theatrical Make-up,15676,3,15,4, -3*XL, 12:00, 03:00, W, ONCMP, SEE NOTES, Thaler M, Lab fee: $180; Cross listed with THE  042 A; Class Scheduled in Room 209 of  Royall Tyler Theater,ART--STUDIO,Spring 2017
ARTS 113, Clay: Hand Building,90713,3,18,17,1, 01:10, 03:00, M W, WILLMS,106, Barringer H," Prereqs enforced by the system: ARTS  012; AHST, ARTE, SART majors, AHST,  ARTS minors only; Restrictions to be  lifted the Monday following  registration; Lab Fee $55",ART--STUDIO,Fall 2020
ARTS 114, Clay: Wheel Throwing,91325,3,16,15,1, 10:05, 11:55, T R, WILLMS,106, Barringer H," Prereqs enforced by the system: ARTS  012; Lab fee $55; AHST, ARTE, SART  majors, AHST, ARTS minors only;  Restrictions to be lifted the Monday  following registration",ART--STUDIO,Fall 2020
ARTS 115, Intermediate Drawing,91183,3,18,18,0, 01:10, 03:00, M W, REMOTE, COURSE, Beltre M," Prereqs enforced by the system: ARTS  001; Lab Fee $105; AHST, ARTE, SART  majors, AHST, ARTS minors only;  Restrictions to be lifted the Monday  following registration",ART--STUDIO,Fall 2020
ARTS 121, Painting: Observation & Image,91326,3,16,16,0, 01:10, 03:00, M W, WILLMS,213, Budington S," Prereqs enforced by the system: ARTS  001; Lab fee $300; AHST, ARTE, SART  majors, AHST, ARTS minors only;  Restrictions to be lifted the Monday  following registration",ART--STUDIO,Fall 2020
ARTS 122, Painting: Color and Invention,95738,3,16,14,2, 09:30, 11:20, T R, WILLMS,213, Fraser P," Prereqs enforced by the system: ARTS  001; AHST, ARTE, SART majors, AHST,  ARTS minors only; Restrictions to be  lifted the Monday following  registration; Lab fee: $200",ART--STUDIO,Fall 2020
ARTS 131, Printmaking: Etching,90408,3,16,16,0, 03:30, 05:20, M W, WILLMS,309, Kent J  Brennan T, Prereqs enforced by the system: ARTS  001 or 012; Lab Fee $150,ART--STUDIO,Fall 2016
ARTS 132, Printmaking: Silkscreen,95731,3,16,15,1, 01:10, 03:00, M W, REMOTE, COURSE, Kent J," Prereqs enforced by the system: ARTS  001 or ARTS 012; AHST, ARTE, SART  majors, AHST, ARTS minors only;  Restrictions to be lifted the Monday  following registration; Lab fee: $230",ART--STUDIO,Fall 2020
ARTS 134, Color Structures in Silkscreen,12655,3,16,16,0, 08:30, 10:20, T R, WILLMS,309, Wallner H, Prereqs enforced by the system: ARTS  001 or 012; $180 Lab Fee,ART--STUDIO,Spring 2018
ARTS 137, Photography,90199,3,14,14,0, 10:05, 11:55, T R, COHEN,202, McDowell W," Prereqs enforced by system:ARTS 012, or  FTS 007, 008 or 010; Cannot be taken  concurrently with ARTS 138 or ARTS 237;  Lab fee $120; AHST, ARTE, SART majors,  AHST, ARTS minors only; Restrictions to  be lifted the Monday following  registration",ART--STUDIO,Fall 2020
ARTS 138, Color Photography,90200,3,16,16,0, 10:50, 12:40, M W, WILLMS,409, Brennan T," Prereqs enforced by system: ARTS 012;  AHST, ARTE, SART majors, AHST, ARTS  minors only; Restrictions to be lifted  the Monday following registration;  Cannot be taken concurrently with ARTS  137 or ARTS 237; Lab fee $95",ART--STUDIO,Fall 2020
ARTS 139, Animation,13502,3,16,15,1, 01:15, 03:05, T R, WILLMS,305, Wallner H, Prereqs enforced by the system: ARTS  001 or FTS 007 or FTS 008 or FTS 010;  Lab Fee $40,ART--STUDIO,Spring 2018
ARTS 141, Sculpture,90201,3,18,17,1, 03:30, 05:20, M W, REMOTE, COURSE, McDevitt M," Prereqs enforced by the system: ARTS  001 or 012; Lab Fee $45; AHST, ARTE,  SART majors, AHST, ARTS minors only;  Restrictions to be lifted the Monday  following registration",ART--STUDIO,Fall 2020
ARTS 144, Digital Art,91287,3,16,16,0, 04:25, 06:15, T R, WILLMS,305, Karson J," Prereqs enforced by the sytem: ARTS 001  or 012; Lab fee $135; AHST, ARTE, SART  majors, AHST, ARTS minors only;  Restrictions to be lifted the Monday  following registration",ART--STUDIO,Fall 2019
ARTS 145, Graphic Design,93624,3,15,16,-1, 11:40, 01:30, T R, COHEN,201, Karson J," Prereqs enforced by the system: ARTS  001 or 012; AHST, ARTE, SART majors,  AHST, ARTS minors only; Restrictions to  be lifted the Monday following  registration; Lab fee: $25",ART--STUDIO,Fall 2020
ARTS 148, Introduction to Video Art,90776,3,16,16,0, 01:10, 03:00, M W, REMOTE, COURSE, Minax M," Prereqs enforced by system: ARTS 012 or  FTS 007, 008 or 010; Lab fee $35;  Restrictions: AHST, ARTE, FTS, SART  majors, AHST, ARTS, FTS minors only;  Restrictions to be lifted the Monday  following registration",ART--STUDIO,Fall 2020
ARTS 195, Digital Fabrication,95739,3,15,15,0, 01:50, 03:40, T R, COHEN,201, Karson J," Prereqs: ARTS 001 or 012, CS 020 or 021,  ME 001, EE001 or MU 060; ARTS majors or  minors, CS, ENGR, ME, BME,CE, CEE, EE,  MUS majors only; Lab fee: $75",ART--STUDIO,Fall 2020
ARTS 213, Advanced Ceramics,10771,3,15,16,-1, 10:05, 11:55, T R, WILLMS,106, Barringer H," Prereqs enforced by the system: ARTS  113 or 114; Minimum Junior standing;  $55 Lab Fee; SART, AHST, ARTE Majors;  ARTS, AHST Minors only; Restrictions to  be lifted the Monday following  Registration; Open to degree and CDE  students",ART--STUDIO,Spring 2019
ARTS 215, Advanced Drawing,92633,3,17,17,0, 05:40, 07:30, M W, REMOTE, COURSE, Beltre M," Prereqs enforced by the system: ARTS  115 or 116; Lab Fee: $105; Jr standing;  AHST, ARTE, SART majors, AHST, ARTS  minors only; Restrictions to be lifted  the Monday following registration",ART--STUDIO,Fall 2020
ARTS 221, Projects in Painting,10195,3,15,16,-1, 11:40, 01:30, T R, WILLMS,213, Fraser P," Prereqs enforced by the system: ARTS  012, 121 or ARTS 122; Minimum Junior  standing; SART, AHST, ARTE Majors; ARTS,  AHST Minors only; Restrictions to be  lifted the Monday following  Registration; $105 Lab Fee; Open to  Degree and CDE students.",ART--STUDIO,Spring 2020
ARTS 230, Projects in Printmaking,11243,3,15,16,-1, 01:10, 03:00, M W, WILLMS,309, Kent J," Prereqs enforced by the system: ARTS  131 or 132 or 134; or Instructor  permission; Minimum Junior standing;  $150 Lab Fee; SART, AHST, ARTE Majors;  ARTS, AHST Minors only; Restrictions to  be lifted the Monday following  Registration; Open to Degree and CDE  students.",ART--STUDIO,Spring 2020
